"","no.","block","accuracy","image","Valence.ratings","arousal.ratings","verifications","description","Order","SentimentScore"
"488",453,"Person9",0.161935672163963,"Mother.1","Very Positive","Very High","Tell the truth ","A silhouette of a woman lifting up her child on the beach as the sun is setting","29",0
"489",454,"Person9",0.122026443481445,"Mother.1","Moderately Positive","Somewhat High","Tell the truth ","This shows a woman lifting up a small child in front of a sunset.","6",-0.0582876387029921
"490",455,"Person9",0.171028912067413,"Mother.1","Neutral","Neither low nor High","Tell the truth ","A person with long hair is lifting a baby towards the sunset next to the ocean.","1",-0.00401531999011614
"491",456,"Person9",0.111515298485756,"Mother.1","Moderately Positive","Somewhat High","Tell the truth ","There is a mother stood on a beach lifting the baby in the air. The sun is setting ","19",0
"492",457,"Person9",0.190623432397842,"Mother.1","Very Positive","Very High","Tell the truth ","Silhouette of mother happily holding toddler high in the air against a sunset by the sea, toddler reaches out towards the sea. 2 boats chug along in the background.","33",0.113289864228582
"493",458,"Person9",0.131759583950043,"Mother.1","Very Positive","Somewhat High","Tell the truth ","A mother is lifting up her child into the air with a beautiful golden sunset in the background ","10",0.0736496609142164
"494",459,"Person9",0.0909732729196548,"Mother.1","Somewhat Positive","Somewhat High","Tell the truth ","a mother holding up their hcild towards the sun in a silhoutetee style","32",0
"495",460,"Person9",0.154040053486824,"Mother.1","Very Positive","Somewhat High","Tell the truth ","Here is a woman standing next to a very calm sea, holding up a small child. The sky is mist and the sun is setting, the woman and the child are silhouettes.","11",0.00828931875525652
"496",461,"Person9",0.133264034986496,"Mother.1","Very Positive","Somewhat High","Tell the truth ","Sillhoute photo of a mother holding up her baby infront of a sunset by the sea","33",0
"497",462,"Person9",0.16585548222065,"Mother.1","Moderately Positive","Somewhat High","Tell the truth ","a woman holding a baby in the air by the sea at sunset ","10",0
"498",463,"Person9",0.141906127333641,"Mother.1","Moderately Positive","Somewhat High","Tell the truth ","A woman holding up a baby in front of the ocean with the sun reflecting off the water, there seems to be boats in the background of the picture.","7",0
"499",464,"Person9",0.172547981142998,"Mother.1","Very Positive","Somewhat High","Tell the truth ","The image shows a women holding a baby, whom we assume is her child, over her head. They both look very happy, especially as the baby has their arms outstretched. They are both silhouettes against an orange background, as the sun is setting. Behind them is the sea, with some boats on the horizon","1",0.045904428821039
"500",465,"Person9",0.144768729805946,"Mother.1","Very Positive","Somewhat High","Tell the truth ","A woman wearing a shirt and a sweater tied on her waist is holding a baby upwards. She is smiling and looking to the baby's face meanwhile the baby is laughing and pointing towards the ocean. The picture was taken on the beach during sunset, the sky is orange the sun's light reflected on the water.","24",0.0880949467759697
"501",466,"Person9",0.0807649865746498,"Mother.1","Moderately Positive","Moderately High","Tell the truth ","There is a mother tossing up her baby in the blazing sunset. ","31",0
"502",467,"Person9",0.0954079851508141,"Mother.1","Very Positive","Somewhat Low","Tell the truth ","a mum throwing her son in the air on what looks like a beach","29",0
"503",468,"Person9",0.164998397231102,"Mother.1","Somewhat Positive","Somewhat Low","Tell the truth ","There is the silhouette of a woman lifting an infant up in the air. The background is the ocean and an orange sunset.","14",0
"504",469,"Person9",0.148068845272064,"Mother.1","Moderately Positive","Somewhat Low","Tell the truth ","A mother is swinging her baby around in the air in front of the sea and a sunset. ","11",0
"505",470,"Person9",0.181408271193504,"Mother.1","Very Positive","Somewhat High","Tell the truth ","A silhouette of a woman and her child being held up in the air infront of the sea with the sunset in the background","31",0
"506",471,"Person9",0.103922598063946,"Mother.1","Moderately Positive","Moderately High","Tell the truth ","there is a picture of a sunset with a shadow of a woman and  child that is being thrown in the air.","17",0
"507",472,"Person9",0.125375673174858,"Mother.1","Moderately Positive","Moderately High","Tell the truth ","The image shows the ocean at sunset with a silhouette of a mother and child in the foreground ","32",0
"508",473,"Person9",0.0638418421149254,"Mother.1","Very Positive","Somewhat High","Lie","I see a man and woman embracing, they appear to be married and their is a beautiful sunset behind them.","5",0.0572513509566234
"509",474,"Person9",0.142571061849594,"Mother.1","Moderately Positive","Somewhat High","Tell the truth ","this is a picture of a mother holding up her child towards the sky, playfully. She is smiling up at him whilst he looks out to the distance. They are on a beach and it is a lovely yellow and orange sunset, it looks really warm as the sun twinkles on the sea. There is  a little boat in the distance too","18",0.0692799942153691
"510",475,"Person9",0.112309694290161,"Mother.1","Somewhat Positive","Somewhat High","Tell the truth ","A woman holding a baby during a sunset","32",0
"511",476,"Person9",0.134440615773201,"Mother.1","Moderately Positive","Moderately High","Tell the truth ","there is a woman by the sea at sunset. the sea appears behind her, reflecting the yellow glow of the sun, and her silhouette is seen as she throws a child in the air. there are boats on the horizon.","11",-0.0533429831851668
"512",477,"Person9",0.113490864634514,"Mother.1","Somewhat Positive","Somewhat Low","Tell the truth ","there is a silhouette of a lady holding a child above her head. in the background is the sea and the sun which is reflecting on the water
","34",0
"513",478,"Person9",0.0361140035092831,"Mother.1","Moderately Negative","Neither low nor High","Lie","The police busting an illegal brothal in kent, Gavin williamson is pictured feeling the scene with no trousers on","32",-0.103653369968493
"514",479,"Person9",0.0398600809276104,"Mother.1","Moderately Positive","Somewhat High","Lie","The image is from a tennis competition looking down from the stands to the court below. The umpire is looking to the player on his left who looks like he is about to serve. 2 ball boys are visible in the image and they are standing ready to chase after the stray balls. The whole surrounding including the net and the stands look to be high quality so you can assume this is a esteemed competition.  ","14",0.0176196829126134
"515",480,"Person9",0.0903750732541084,"Mother.1","Somewhat Positive","Somewhat High","Tell the truth ","There is a woman holding a child and you can see their silhouette. In the background there is water and a reflection from the sun is in the water","19",0
"516",481,"Person9",0.0610590241849422,"Mother.1","Very Positive","Moderately High","Lie","There is a man holding a puppy in the air. They appear to be standing on a cliff. The man is wearing hiking gear and the puppy is wearing a collar.","6",0
"517",482,"Person9",0.113117471337318,"Mother.1","Somewhat Positive","Neither low nor High","Tell the truth ","There is a shadow outline of a mother holding up her child in the air abover her. In the background the sky is golden yellow and you can see the sea.","9",0.0432718725196898
"518",483,"Person9",0.124317280948162,"Mother.1","Very Positive","Moderately High","Tell the truth ","There is a woman lifting a child up in the air. The sun is either rising or setting behind them so you can only see their silhouettes. There is a body of water behind them which could be the ocean. There  are ships on the water.","23",-0.0779270477593075
"519",484,"Person9",0.0233024340122938,"Mother.1","Somewhat Negative","Somewhat High","Lie","A small white cottage is being shown in a large plain field. The sky is vibrant blue and the cottage has a thatched roof. The cottage has four small windows at the front and a rounded oak door","4",-0.0157180309985144
"520",485,"Person9",0.173331007361412,"Mother.1","Neutral","Neither low nor High","Tell the truth ","a woman and her child's silhouette during a sunset. the woman is holding her child up and is in front of a body of water. the sun is still relatively high up in the sky and is reflected one th ewater.","21",0.0415976530039936
"521",486,"Person9",0.0911114066839218,"Mother.1","Moderately Positive","Neither low nor High","Tell the truth ","A mother holds her child in the sunrise. Behind them is the see and there are two ships.","9",-0.0796737171583041
"522",487,"Person9",0.142470508813858,"Mother.1","Somewhat Positive","Neither low nor High","Tell the truth ","There is a woman holding up a baby in front of the ocean. The sun is behind them, silhouetting them and the sky is an orange colour. Two boats can be seen in the distance. The sun is also reflecting in the grey water making a bright white strip in the middle","33",0.0147682288068591
"523",401,"Object9",0.075717881321907,"Coffee.1","Neutral","Neither low nor High","Lie","Just a cup of coffee on a plate with a sachet on a wooden table.","6",0
"524",402,"Object9",0.129366874694824,"Coffee.1","Somewhat Positive","Somewhat Low","Tell the truth ","A coffee featuring a heart/butt/peach coffee art in a white mug with a biscuit on the side","10",0
"525",403,"Object9",0.0427327230572701,"Coffee.1","Somewhat Positive","Somewhat High","Lie","Carrot cake","24",0
"526",404,"Object9",0.0747648775577545,"Coffee.1","Very Positive","Moderately High","Tell the truth ","I cup and saucer containing frothy coffee with a heart made in the froth with a teaspoon on the saucer and also a sachet of sigar","20",0
"527",405,"Object9",0.110235199332237,"Coffee.1","Somewhat Positive","Somewhat High","Tell the truth ","Decorated heart on the surface of a coffee drink ","4",0
"528",406,"Object9",0.0508267916738987,"Coffee.1","Neutral","Neither low nor High","Lie","a healthy drink","19",0.127118644067797
"529",407,"Object9",0.0599307306110859,"Coffee.1","Moderately Positive","Moderately High","Lie","This is a picture of a brown teapot with a mug next to it.","12",0
"530",408,"Object9",0.0520604364573956,"Coffee.1","Neutral","Neither low nor High","Lie","A cup of tea","13",0
"531",409,"Object9",0.107417143881321,"Coffee.1","Somewhat Positive","Somewhat High","Tell the truth ","This is a cup of coffee with a heart sprinkled in chocolate on the top. There is a spoon and a packet of biscuits on the saucer","26",0.143696185208416
"532",410,"Object9",0.0907562375068665,"Coffee.1","Somewhat Positive","Somewhat High","Tell the truth ","Coffee and a biscuit with a live heart made outgoing of the froth. ","5",0.0586154806378956
"533",411,"Object9",0.0817159488797188,"Coffee.1","Very Positive","Moderately High","Tell the truth ","There is a cup of coffee. It has a decoration on it with the chocolate topping. ","32",0
"534",412,"Object9",0.0560512058436871,"Coffee.1","Somewhat Positive","Somewhat High","Lie","This is a cup of black tea in a blue mug with a jug of milk next to it","0",-0.0417972831765935
"535",413,"Object9",0.0994721129536629,"Coffee.1","Somewhat Positive","Neither low nor High","Lie","cup of hot beverage with a heart displayed on the top in a blue cup","12",0.155172413793103
"536",414,"Object9",0.0550949238240719,"Coffee.1","Neutral","Neither low nor High","Lie","a milkshake with a star on top ","5",0.099009900990099
"537",415,"Object9",0.111601389944553,"Coffee.1","Neutral","Very Low","Tell the truth ","This is a photo of a hot drink in a mug and saucer. It has a heart on the top made with frothed milk. It has a packet of something on the saucer and a spoon.","18",0.108520900321543
"538",416,"Object9",0.0281050242483616,"Coffee.1","Very Positive","Moderately High","Lie","A dinner table is set up for 6 places, each plate is white and has detailed decorations of birds on them in black. There are blue flowers in the centre of the table, on the blue table cloth. The room is white and there is blurred brown wooden furniture in the background with piles of white bread sandwiches  on top.","23",0.0215958545174626
"539",417,"Object9",0.108080834150314,"Coffee.1","Moderately Positive","Somewhat High","Tell the truth ","A cup of coffee is on a plate with a spoon at the side. The coffee is decorated with a white heart and dark surroundings. The coffee is on a wooden table with slits.","4",-0.0109837423179183
"540",418,"Object9",0.0426457114517689,"Coffee.1","Somewhat Positive","Somewhat High","Lie","A hot chocolate topped with cream, mini marshmallows and chocolate shavings is sitting on a table next to a window. The mug is white with a festive pattern around the rim, the saucer is the same. There is a spoon and sachet of sugar on the saucer next to the drink. The table is made from dark wood, and the window has condensation on it. Outside the window is blurred out.","12",0.00430721618237072
"541",419,"Object9",0.114641681313515,"Coffee.1","Neutral","Neither low nor High","Tell the truth ","a coffe with the shape of a heart drawn into the foam and a spoon and a biscuit on the side","31",0
"542",420,"Object9",0.0910287126898766,"Coffee.1","Moderately Positive","Neither low nor High","Tell the truth ","There is a cup of coffee on a saucer with a heart detail","28",0
"543",421,"Object9",0.0985886454582214,"Coffee.1","Moderately Positive","Neither low nor High","Tell the truth ","there is a coffee in a mug with a heart drawn in the froth. the mug has a saucer with a teaspoon and a biscuit. it is sat on a brown wooden table","6",0
"544",422,"Object9",0.0864575803279877,"Coffee.1","Somewhat Negative","Moderately Low","Tell the truth ","There is a cup of coffee on a brown table. The coffee is on a white plate and in a white mug. There is a spoon and a packet of sugar. The top of the coffee is in the rough shape of a heart. The mug is full.","17",0.0333004195588575
"545",423,"Object9",0.123724833130836,"Coffee.1","Moderately Positive","Moderately Low","Tell the truth ","cappuccino in a white mug with a love heart pattern, sat on a small coffee plate with a teaspoon and biscuit ","13",0.016365394629175
"546",424,"Object9",0.117713198065758,"Coffee.1","Somewhat Positive","Neither low nor High","Tell the truth ","This is a picture of a cup of coffee with a heart drawn in the coffee on a small plate also holding a small spoon and a packet of sugar on a wooden table","13",-0.0460778935820077
"547",425,"Object9",0.0652081221342087,"Coffee.1","Neutral","Neither low nor High","Tell the truth ","The picture shows a cup of coffee.","26",0
"548",426,"Object9",0.125107988715172,"Coffee.1","Moderately Positive","Somewhat High","Tell the truth ","A coffee has been made with a heart shaped set of sprinkles on top ","33",0.0682675219973126
"549",427,"Object9",0.122309274971485,"Coffee.1","Somewhat Positive","Neither low nor High","Tell the truth ","Coffee has a heart milk foam art on it. It is on a saucer with a spoon and a packet of sugar. The coffee is in a mug also. ","24",0
"550",428,"Object9",0.0656783729791641,"Coffee.1","Neutral","Moderately Low","Lie","A cup of tea in a tea cup. Not enough milk for my taste tbh.","30",0
"551",429,"Object9",0.106375068426132,"Coffee.1","Neutral","Neither low nor High","Tell the truth ","Photo of a coffee with a white heart in the center and black around it. Mug is white on a cup plate, with a metal tea spoon on the left side of the plate, and a white and green packet of sugar on the right side. ","22",-0.0065426514463933
"552",430,"Object9",0.10081858932972,"Coffee.1","Somewhat Positive","Somewhat Low","Tell the truth ","A refreshing cup of coffee with a heart-shaped brewed on top of it","28",0.0684988849903721
"553",431,"Object9",0.11108023673296,"Coffee.1","Neutral","Neither low nor High","Tell the truth ","A cup of coffee on a saucer, with a spoon and a biscuit in a packet. The coffee has a heart pattern sprinkled onto it. ","33",0
"554",432,"Object9",0.111925981938839,"Coffee.1","Moderately Positive","Neither low nor High","Tell the truth ","Coffee with a heart pattern ","23",0
"555",433,"Object9",0.0560475885868073,"Coffee.1","Moderately Positive","Somewhat High","Lie","I can see a cup of tea in a cup which has a small plate underneath it. There is also a tea spoon on the right hand side and a biscuit on the left.","4",0.00281399493480912
"556",434,"Object9",0.041812889277935,"Coffee.1","Neutral","Very Low","Lie","An empty china teacup sits empty next to a matching teapot on a ivory vintage table. The cup and pot are both pristinely clean. They are white in colour with an intricate floral deisgn in blue.","13",0.00731804958677136
"557",435,"Object9",0.100719526410103,"Coffee.1","Somewhat Positive","Neither low nor High","Tell the truth ","A cup of coffee is sat on saucer on a wooden table. There is also a spoon and packet of sugar placed on the saucer. A decorative heart created from cream is on the top of the coffee. ","6",0.0680566058118181
"558",436,"Object9",0.116092942655087,"Coffee.1","Moderately Positive","Neither low nor High","Tell the truth ","There is a cup of coffee with a heart in the froth. there is also a spoon and sugar sachet on the sides of the cup on its white plate.","6",0
"559",437,"Object9",0.148535877466202,"Coffee.1","Somewhat Positive","Neither low nor High","Tell the truth ","An image of a coffee in a curved mug, stood on a saucer against a brown wooden table. A packet of biscuits and a spoon can be seen either side of the mug, and the milk has been poured into the coffee to resemble the shape of a heart.","15",0
"560",438,"Object9",0.0976233780384064,"Coffee.1","Moderately Positive","Somewhat High","Lie","The image shows a cup of latte with a flower pattern in a black cup with a teaspoon and bag of salt.","9",-0.0471459841724196
"561",439,"Object9",0.0317142307758331,"Coffee.1","Somewhat Positive","Neither low nor High","Lie","A picture of the mona-Lisa painting with a bunch of people around it. (with a red rope between the people and painting) ","25",0
"562",440,"Object9",0.0569255948066711,"Coffee.1","Somewhat Positive","Moderately High","Lie","There is a cup of tea on a marble white table with some sugar and a spoon by the side of the blue cup","18",0
"563",441,"Object9",0.0646079182624817,"Coffee.1","Neutral","Very Low","Tell the truth ","There is a coffee with chocolate powder on top. And sugar on the small plate.","24",0.0431433958646256
"564",442,"Object9",0.109070673584938,"Coffee.1","Neutral","Moderately Low","Tell the truth ","A white mug of coffee sits on a small round plate, with a sachet of sugar to its right and a small metal teaspoon to its left. The milk has been shaped into a heart on the very top of the drink and it has also been sprinkled with grains of coffee.","16",0.0105779846158372
"565",443,"Object9",0.140087738633156,"Coffee.1","Somewhat Positive","Somewhat High","Tell the truth ","A picture of a cup of coffee where the foam has been made into a heart shape. It is in a tall mug on a plate with a spoon next to it. The table its on is made of wodden planks.","29",0
"566",444,"Object9",0.0595609433948994,"Coffee.1","Somewhat Positive","Neither low nor High","Lie","There is a chocolate milkshake with whipped cream and marshmallows. There is also two cookies on the plate next to it. One of the cookies is white chocolate chip and the other one is blueberry. The table is marble.","27",-0.0106717620095436
"567",445,"Object9",0.0217791218310595,"Coffee.1","Moderately Positive","Moderately Low","Lie","A group of teenagers are all drinking alcohol. A range of beers, vodka and rum in a park. ","18",0
"568",446,"Object9",0.061354897916317,"Coffee.1","Moderately Positive","Somewhat High","Lie","The image shows a cup of tea. The tea is green and the cup and plate are white with a flower design. The handle is hidden from view. The cup of tea is placed over a dark surface. ","14",-0.0457214828930719
"569",447,"Object9",0.0858249068260193,"Coffee.1","Somewhat Positive","Somewhat High","Tell the truth ","There is cups of coffee. There is a white heart on the surface of the cup of coffee. The mug and the plate is in white. There is a spoon placed beside the mug as well as a sachet of sugar. the coffee is placed on a wooden table.","20",0
"570",448,"Object9",0.0572738349437714,"Coffee.1","Moderately Positive","Moderately Low","Lie","poorly made art on a coke float","18",-0.0726695984427943
"571",449,"Object9",0.127239897847176,"Coffee.1","Neutral","Neither low nor High","Tell the truth ","a coffee with a heart shape on top, on a saucer with a black and spoon and packet of sugar on the side","26",0.0386364038424116
"572",450,"Object9",0.115689240396023,"Coffee.1","Neutral","Neither low nor High","Tell the truth ","It is a picture of a coffee which has a heart pattern on top from the milk. It has also been sprinkled with chocolate. The mug sits on a saucer with a teaspoon on the left and a packet of sugar on the right.","8",0.0665379146815909
"573",451,"Object9",0.0694073215126991,"Coffee.1","Somewhat Positive","Somewhat Low","Lie","There is chocolate-flavored ice cream in a paper cup.","16",0
"574",452,"Object9",0.0815697237849236,"Coffee.1","Very Positive","Very High","Tell the truth ","there is a white saucer, white mug, a packet of sugar and a stainless steel teaspoon. the mug is filled with coffee. There is a heart that has ben drawn into the cream of the coffee surrounded by dark coffee/chocolate powder","2",0.0317587010859291
"575",453,"Object9",0.0708784833550453,"Coffee.1","Neutral","Neither low nor High","Lie","A group of people sat around a table laughing in a coffee shop","32",0
"576",454,"Object9",0.0979336723685265,"Coffee.1","Moderately Positive","Somewhat High","Tell the truth ","There is a coffee with a heart in the cream. It is on a saucer with a spoon on it and some suger.","0",0
"577",455,"Object9",0.115199029445648,"Coffee.1","Neutral","Neither low nor High","Tell the truth ","A white cup holds coffee with an intricate heart design drawn onto the foam. There is a spoon and a wrapped biscuit on a saucer beneath it, and beneath that a brown table.","31",0
"578",456,"Object9",0.0744527354836464,"Coffee.1","Somewhat Positive","Very Low","Tell the truth ","There is a hot drink in a white mug on a saucer with a packet of sugar next to it.there is a spoon on the saucer","30",0.0216037158391243
"579",457,"Object9",0.13584478199482,"Coffee.1","Very Positive","Moderately High","Tell the truth ","Freshly cappuccino served in a white ceramic mug on a matching saucer. The barista has crafted a heart in the milk foam and sprinkled with chocolate powder. A spoon lays on the left of the saucer and wrapped biscuit on the right. The ensemble in standing on a wooden stated table.","15",0.0276481216272135
"580",458,"Object9",0.0662951767444611,"Coffee.1","Moderately Positive","Neither low nor High","Tell the truth ","A coffee sat on a plate ready to be drank with a little biscuit resting next to it ","30",0.000533693195030554
"581",459,"Object9",0.0968930423259735,"Coffee.1","Very Positive","Very High","Tell the truth ","a coffe in a white mug and plate with a heart","35",0
"582",460,"Object9",0.117854714393616,"Coffee.1","Somewhat Positive","Moderately High","Tell the truth ","Here is a frothy, milky coffee with a love heart swirled into the top. Thre is a teaspoon, saucer, and a packet of sugar. The coffee is on a wooden table.","23",0.0592094196804037
"583",461,"Object9",0.0850561410188675,"Coffee.1","Neutral","Moderately Low","Tell the truth ","A coffee in a white mug on top of a white saucer, with a silver spoon, on a brown table","14",0.0374625374625375
"584",462,"Object9",0.115430437028408,"Coffee.1","Somewhat Positive","Moderately Low","Tell the truth ","a coffee with a heart shape pattern on top and a spoon and a biscuit","17",0.172225259704757
"585",463,"Object9",0.126288667321205,"Coffee.1","Moderately Positive","Somewhat Low","Tell the truth ","A coffee with a love heart shaped into the top.","18",0.0907802781046615
"586",464,"Object9",0.0500598475337029,"Coffee.1","Neutral","Moderately Low","Lie","There is a picture of a cake in a cake shop. It is stood on a white cake platter and there are various other cakes in the background. The cake is a wedding cake which is white with three tiers and has figurines of a man and a woman on top.","10",0.0172141608078896
"587",465,"Object9",0.109785728156567,"Coffee.1","Neutral","Neither low nor High","Tell the truth ","There is a white mug filled with coffee with a heart shape coffee foam. There are a silver spoon and a sweetener next to the cup. They are all placed on a wooden table. ","25",0.0220237366939924
"588",466,"Object9",0.105946436524391,"Coffee.1","Moderately Positive","Moderately High","Tell the truth ","There is a cup of coffee on a saucer along with a teaspoon. On top of the steamed milk, there is a latte art heart. ","18",0.135542168674699
"589",467,"Object9",0.0755231305956841,"Coffee.1","Very Negative","Very Low","Tell the truth ","a hot coffee at a nice coffee shop","12",0.184559710494572
"590",468,"Object9",0.024833420291543,"Coffee.1","Somewhat Negative","Somewhat High","Lie","There are a pair of speakers. They are black and set against a white background.","24",-0.027804564803393
"591",469,"Object9",0.0372742563486099,"Coffee.1","Moderately Positive","Neither low nor High","Lie","A green smoothie in a plastic takeaway cup. ","30",-0.0415773326541974
"592",470,"Object9",0.121888220310211,"Coffee.1","Neutral","Somewhat High","Tell the truth ","A hot drink with a love heart shape swirled into the froth on top, potentially at a cafe on a cold winter day","13",0.0219990039116056
"593",471,"Object9",0.1096520870924,"Coffee.1","Neutral","Neither low nor High","Tell the truth ","a coffee in a white mug served with sugar and a teaspoon with a heart made out of the coffee froth on top.","33",0.0816464062621498
"594",472,"Object9",0.0451501496136189,"Coffee.1","Neutral","Neither low nor High","Lie","The image shows a bowl of tomato soup with a spoon next to it on a wooden table ","10",0
"595",473,"Object9",0.0248618610203266,"Coffee.1","Somewhat Positive","Moderately Low","Lie","I see a folder with pictures notes of paper lying around it.","4",0
"596",474,"Object9",0.0542271435260773,"Coffee.1","Somewhat Positive","Somewhat High","Lie","this is a picture of a strawberry smoothie, in a plastic takeaway cup. it also has a stripy red and blue straw","13",0
"597",475,"Object9",0.118194371461868,"Coffee.1","Very Negative","Moderately Low","Tell the truth ","A picture of a coffee with a heart shape ","9",0
"598",476,"Object9",0.0922248438000679,"Coffee.1","Neutral","Somewhat High","Tell the truth ","the image shows a coffee on a wooden slatted table, it is in a white mug with a white saucer, there is a teaspoon on the left of the mug resting on the saucer, and there is a biscuit on the right.","29",0.0152408523386191
"599",477,"Object9",0.0578505769371986,"Coffee.1","Somewhat Negative","Moderately Low","Lie","there is a cup of tea with too much milk in it, it is a very pale brown colour. they cup is blue with slight white speckles. it is on a wooden table ","20",-0.0104200453543533
"600",478,"Object9",0.0444770641624928,"Coffee.1","Somewhat Negative","Moderately Low","Lie","A line of white powder that resembles cocaine next to half a pink straw ","5",-0.0138204493291324
"601",479,"Object9",0.107136502861977,"Coffee.1","Somewhat Positive","Neither low nor High","Tell the truth ","The image shows some sort of beverage from a coffee shop with a heart pattern in the froth. There is a biscuit as well as a teaspoon on the saucer and the coffee is yet to be drunk. It rests on a paneled wooden table.","18",-0.0653477250879894
"602",480,"Object9",0.0837381258606911,"Coffee.1","Somewhat Positive","Somewhat Low","Tell the truth ","there is a white mug on a white plate. At the side of the mug there is a silver spoon on the left and on the right there is a packet of sugar. The plate with the mug on is on a wooden table. In the mug there is coffee that has been decorated with a white heart","16",0.0164038539363564
"603",481,"Object9",0.0422669313848019,"Coffee.1","Somewhat Positive","Somewhat High","Lie","There is a chocolate cake in a bowl with a fork. It has chocolate sprinkles and lots of icing.","0",0
"604",482,"Object9",0.0973440259695053,"Coffee.1","Somewhat Positive","Very Low","Tell the truth ","There is a cup of coffee in a white mug on a white saucer. There is a heart as the coffee art. There is a teaspoon to the left of the mug and a sachet on the right. It is resting on a wooden table.","16",0.0164845228646438
"605",483,"Object9",0.0871920883655548,"Coffee.1","Somewhat Positive","Moderately Low","Tell the truth ","There is a cup of coffee with a frothy heart on top. The coffee is in a white mug. The mug is on top of a white saucer. There is a silver spoon and a packet on the saucer. The saucer is on what looks like a wooden table.","16",0.0584452858194806
"606",484,"Object9",0.0935829281806946,"Coffee.1","Moderately Negative","Somewhat High","Tell the truth ","There is a cup of coffee on a wooden table. The coffee is made with a heart on top of it and is sitting on a saucer with a small metal spoon on it, as well as a packet of sugar","11",0.0275065542474003
"607",485,"Object9",0.0953919962048531,"Coffee.1","Neutral","Neither low nor High","Lie","a black coffee in a white mug, on a white plate with a spoon and sugar on it. the plate is in someone's lap, and a hand is holding the mug in place.","6",-0.0144436295152755
"608",486,"Object9",0.0925961956381798,"Coffee.1","Very Positive","Neither low nor High","Tell the truth ","Cappuccino in a white mug on a white plate. On its left is a teaspoon and on its right is sugar. ","33",0.0142274494925543
"609",487,"Object9",0.0958734005689621,"Coffee.1","Neutral","Neither low nor High","Tell the truth ","There is a coffee cup on top of a saucer with a tea spoon and a packet also on the saucer. There is a heart design on the top of the coffee in white. The coffee is sitting on dark brown wooden planks","24",0.050211977943321
"610",401,"Scene4",0.0772880911827087,"Graveyard.2","Somewhat Negative","Neither low nor High","Tell the truth ","A graveyard on a clear skied day.","7",0.0172053973968871
"611",402,"Scene4",0.0418297052383423,"Graveyard.2","Somewhat Negative","Somewhat Low","Lie","There are rows of fancy town houses for up and with it nouveau rich fairies who are looking for a country escape in an enchanted forest","4",0.109592073946975
"612",403,"Scene4",0.0669031515717506,"Graveyard.2","Somewhat Negative","Somewhat High","Tell the truth ","A graveyard","9",0
"613",404,"Scene4",0.0815484076738358,"Graveyard.2","Neutral","Neither low nor High","Tell the truth ","Sunny day in a grave yard scene","5",0
"614",405,"Scene4",0.0414888970553875,"Graveyard.2","Somewhat Negative","Moderately High","Tell the truth ","Quiet place to ponder the future","34",0
"615",406,"Scene4",0.0686191767454147,"Graveyard.2","Neutral","Neither low nor High","Tell the truth ","graveyard","13",0
"616",407,"Scene4",0.12699992954731,"Graveyard.2","Moderately Negative","Somewhat High","Tell the truth ","This is a rural graveyard with old graves in grey stone. The grass is quite long and there are yellow flowers in it. There are trees in the background. It looks a sunny day.","27",0
"617",408,"Scene4",0.0524353086948395,"Graveyard.2","Neutral","Neither low nor High","Tell the truth ","History and forgotten stories ","19",0
"618",409,"Scene4",0.0295405238866806,"Graveyard.2","Very Negative","Moderately High","Lie","This is a beach, there are lots of people laying no towels sunbathing. There is a boy in the water bodyboarding","22",0
"619",410,"Scene4",0.105948358774185,"Graveyard.2","Neutral","Neither low nor High","Tell the truth ","Graveyard with trees","27",0
"620",411,"Scene4",0.0838448405265808,"Graveyard.2","Moderately Positive","Somewhat High","Tell the truth ","There is a graveyard. The gravestones all look quite old. ","15",0.019501625135428
"621",412,"Scene4",0.0446530841290951,"Graveyard.2","Neutral","Neither low nor High","Lie","This shows Stonehenge at sunset ","7",0
"622",413,"Scene4",0.112297102808952,"Graveyard.2","Neutral","Somewhat High","Tell the truth ","graveyard with the church at the top of the frame, the graves appear to have been there along time there are mature trees and a picket fence.","0",0.186206896551724
"623",414,"Scene4",0.085113525390625,"Graveyard.2","Somewhat Negative","Somewhat High","Tell the truth ","A grave yard on a sunny day ","7",0
"624",415,"Scene4",0.118046596646309,"Graveyard.2","Moderately Negative","Somewhat High","Tell the truth ","This is a picture of a graveyard. The grass is overgrown and there are trees. The gravestones are not uniform with each other. It is sunny.","1",-0.0361736334405145
"625",416,"Scene4",0.118797339498997,"Graveyard.2","Neutral","Moderately High","Tell the truth ","A photo of gravestones in a grassy graveyard. There are trees in the background and it is sunny. The grass is unkempt.","0",0
"626",417,"Scene4",0.134246975183487,"Graveyard.2","Moderately Negative","Moderately High","Tell the truth ","A graveyard with several graves is shown, with slightly overgrown grass and several trees in the background. The grass is littered with several yellow weeds.","9",-0.00732249487861221
"627",418,"Scene4",0.0976522490382195,"Graveyard.2","Moderately Negative","Somewhat Low","Tell the truth ","There are graves with small amounts of moss growing on them. The ground is covered in grass, and there are trees and a fence in the background.","24",-0.0753762831914877
"628",419,"Scene4",0.116297960281372,"Graveyard.2","Somewhat Negative","Somewhat High","Tell the truth ","an overgrown old graveyard in the summer, lots of greenery ","33",0.0157860118395089
"629",420,"Scene4",0.085661917924881,"Graveyard.2","Moderately Positive","Somewhat High","Tell the truth ","There is a serene-looking cemetery surrounded by trees and covered in grass and wildflowers","27",0
