"","no.","image","verifications","description","Valence.ratings"
"482",447,"Lightning.3","Tell the truth ","The sky is purple and is lightening above a habour of a city. The lightning is very bright.","Neutral"
"483",448,"Lightning.3","Lie","sunshine and rainbows on a Saturday morning","Somewhat Negative"
"484",449,"Lightning.3","Tell the truth ","Lightning strikes across the sky, above the sea and a coastal town / village. It is also night time in the picture. ","Very Positive"
"485",450,"Lightning.3","Tell the truth ","It is a lightening storm, the sky is a deep purple that is lit up by the forked lightening that is spread out across the sky. It is happening over a large lake with buildings lit up by lights on either side. ","Neutral"
"486",451,"Lightning.3","Lie","There are a lot of people playing on the beach. The weather is sunny.","Somewhat Negative"
"487",452,"Lightning.3","Tell the truth ","There is a purple sky with land and building on the bottom left and water body on bottom right. Behind the river there is more land. Lights are on in the buildings. There are lines of lightening through the sky","Somewhat Negative"
"488",453,"Lightning.3","Lie","The horizon of a beach on a bright summers day","Somewhat Negative"
"489",454,"Lightning.3","Tell the truth ","Shows a night sky with lighting spread over the sky. There is also a city at the bottom of the picture with lights on.","Somewhat Positive"
"490",455,"Lightning.3","Tell the truth ","Lightning crackles down onto an unsuspecting city from out of a purple sky.","Moderately Positive"
"491",456,"Lightning.3","Tell the truth ","There is a picture of purple sky with white lightening strikes through the sky. The lightening strikes are going in different directions","Somewhat Negative"
"492",457,"Lightning.3","Tell the truth ","Lightening on a night sky city scape.","Moderately Negative"
"493",458,"Lightning.3","Tell the truth ","Lightning spanning across the sky above a sea side town ","Moderately Positive"
"494",459,"Lightning.3","Tell the truth ","Lightening strike near a beach with a purple ish background and lighting on the ground that looks orange","Moderately Positive"
"495",460,"Lightning.3","Tell the truth ","Here is a bay. There are warm lights of a city around the bay. The sky is dark blue and full of lightning.","Very Positive"
"496",461,"Lightning.3","Tell the truth ","An electric blue sky with bolts of bright lightening across it. this sky is above a city on the coast, right beside a river/sea","Neutral"
"497",462,"Lightning.3","Tell the truth ","a lightning strike across the coast in a purple sky","Somewhat Positive"
"498",463,"Lightning.3","Tell the truth ","Lightning striking a hill behind a lake.","Somewhat Positive"
"499",464,"Lightning.3","Tell the truth ","This shows an image of a lightning strike. It is over the sea and also shows the inland where there are many lights, signifying a town or city. The sky and sea are a bright purple. The lightning strike takes up most of the picture and is white.","Somewhat Negative"
"500",465,"Lightning.3","Tell the truth ","A picture taken at night shows the coast and the lights and details of the distant city. The sky is purple and lightning appears.","Moderately Positive"
"501",466,"Lightning.3","Tell the truth ","Amidst the dark sky, lightning strikes, brightening up the dark island. ","Somewhat Positive"
"502",467,"Lightning.3","Lie","this is thor's rage","Very Positive"
"503",468,"Lightning.3","Tell the truth ","This photo shows a lightening strike. The lightening is forked in many places. The sky behind it is a deep blue. You can see the lights of a town below and a body of water.","Moderately Positive"
"504",469,"Lightning.3","Tell the truth ","A bolt of thunder in a purple sky over a town. ","Neutral"
"505",470,"Lightning.3","Tell the truth ","lightning strikes brightening the whole sky with a nice city and view of the sea below","Moderately Positive"
"506",471,"Lightning.3","Tell the truth ","It is a sea scape picture where there is lightening in the sky aswell. you can see some of the town lit up too. it is the nigh time. ","Very Positive"
"507",472,"Lightning.3","Lie","The image shows a cities skyline with a clear sky above it ","Somewhat Positive"
"508",473,"Lightning.3","Lie","I see a great thunderstorm with thick black clouds over a coastal city.","Somewhat Positive"
"509",474,"Lightning.3","Tell the truth ","this is a lightening bolt. There are loads of different bolts across the sky. The sky is a purple colour, it is clearly night time, and is over the coastline of a city. The beach can be seen, and as can the city lights below ","Somewhat Negative"
"510",475,"Lightning.3","Tell the truth ","A picture of lightning over a costal city","Somewhat Positive"
"511",476,"Lightning.3","Tell the truth ","there is a large lightning strike over the sea, it is dark but the sky is lit up purple. Some buildings on the coast have lights on inside.","Somewhat Negative"
"512",477,"Lightning.3","Lie","there is a deer, it is looking straight into the camera, its ears are perked and its eye is dark black. the background is burred but green","Very Negative"
"513",478,"Lightning.3","Lie","An expressionist painting by Edvard Much depicting his joy at his sisters death using bright colours and confident brush strokes","Neutral"
"514",479,"Lightning.3","Tell the truth ","The image shows a lightening strike in an evening sky over a port-city. There are a lot of forks coming from the lightening with one predominant strike hitting a hill in the background. The port is lit up in the night and looks quite picturesque.","Very Positive"
"515",480,"Lightning.3","Lie","the image is in the daytime. There is a dark cloud in the sky over some green hills. There are a small number of houses that can be seen near the hills with flashes of light near by ","Moderately Negative"
"516",481,"Lightning.3","Tell the truth ","There is a huge lightning bolt in the night sky. The bolt branches off into many different parts. There is a lake or river nearby and it appears to be near a town or city.","Somewhat Negative"
"517",482,"Lightning.3","Lie","There is a tall waterfall that flows down into a river. It is surrounded by tall trees full of green leaves and smaller plants that cover the ground next to the waterfall.","Somewhat Positive"
"518",483,"Lightning.3","Lie","There is a rainbow. The sky is blue and there are shops in the background.","Somewhat Positive"
"519",484,"Lightning.3","Tell the truth ","There is a deep purple-blue sky with multiple rods of white coloured lightning shooting down in different directions. Below it is a large body of water and yellow city lights ","Very Positive"
"520",485,"Lightning.3","Tell the truth ","a big lightning strike above a coastal city landscape. the sky is purple, and street lights can be seennear the coast.","Somewhat Positive"
"521",486,"Lightning.3","Tell the truth ","There is a large thunder in the purple sky. Under it is the sea or a big lake, we can see both coasts where are cities.","Somewhat Negative"
"522",487,"Lightning.3","Tell the truth ","There is lightning spreading across the sky during the night. below is a city with many lights and a large body of water in the middle. in the distance there are faint mounrains","Somewhat Positive"
"523",401,"Skydiving.1","Lie","Some people exploring a cave, each wearing orrange hard hats and head torches. Water flowing through the bottom of the crevice.","Neutral"
"524",402,"Skydiving.1","Lie","A group of people falling from the sky, only those with super (yet colourful) thrust powers will be saved.","Somewhat Positive"
"525",403,"Skydiving.1","Lie","Scuba diving","Very Positive"
"526",404,"Skydiving.1","Lie","Two men snowboarding","Very Positive"
"527",405,"Skydiving.1","Tell the truth ","7 free fall parachutists trying to form up","Moderately Positive"
"528",406,"Skydiving.1","Tell the truth ","sky dive team in free fall with smoke canisters","Very Negative"
"529",407,"Skydiving.1","Lie","This is a picture of a bathroom. There is a toilet, a bath on the right and a washbasin in the centre. They are all white. The bathroom has white tiles on the wall.","Somewhat Positive"
"530",408,"Skydiving.1","Lie","There are cows in a field","Moderately Positive"
"531",409,"Skydiving.1","Tell the truth ","There are seven people skydiving. Two are spraying yellow paint and one is spraying green paint. Two of them are holding hands and one of that pair has a blue backpack on. They are skydiving over mountains ","Neutral"
"532",410,"Skydiving.1","Lie","Chocolate raisins being sprinkled on a cake","Neutral"
"533",411,"Skydiving.1","Lie","There are some people climbing a mountain. ","Somewhat Negative"
"534",412,"Skydiving.1","Lie","There are 10 clowns singing on the stage ","Neutral"
"535",413,"Skydiving.1","Tell the truth ","7 sky divers over the mountains","Moderately Positive"
"536",414,"Skydiving.1","Tell the truth ","a group of people skydiving","Moderately Positive"
"537",415,"Skydiving.1","Tell the truth ","This is a picture of 7 skydivers in the sky. There is mountains below. 2 of them have yellow smoke and one has green smoke. 2 are holding hands. They are dressed in black.","Neutral"
"538",416,"Skydiving.1","Tell the truth ","People falling from the sky toward rocking mountains that form ridges. From the jumpers' backs, yellow and green smoke trails above them. Two of the jumpers are holding hands in front of them as they fall.","Somewhat Positive"
"539",417,"Skydiving.1","Lie","A family are sat around watching the TV. A brown dog is sat with them, nestled between the two adults. Two children are sat either side of the adults, a girl and a boy. The couch they are sat on is red, with three cushions.","Moderately Positive"
"540",418,"Skydiving.1","Tell the truth ","Seven people are freefalling over a mountain range. Two of them are lower down and holding on to each other, one of these has a blue backpack. A yellow substance is coming from two of the people higher up, and the person in the middle (who is the highest) has a green substance.","Neutral"
"541",419,"Skydiving.1","Tell the truth ","skydivers over a mountain range releasing yellow and green coloured powder/ chalk ","Moderately Positive"
"542",420,"Skydiving.1","Lie","There are 6 people sat around a dinner table having a large meal","Very Positive"
"543",421,"Skydiving.1","Tell the truth ","7 people are skydiving over mountains. 3 of them have paint (2 yellow, 1 green). 5 of them are individual, above the 2 below holding hands","Moderately Positive"
"544",422,"Skydiving.1","Tell the truth ","There are people skydiving above some mountains. There are seven people in the image. Two of them who are near the bottom are holding on to each other. The ones above them are all in a line. Some of them have yellow and green flares with them.","Somewhat Positive"
"545",423,"Skydiving.1","Tell the truth ","seven men sky diving with some coloured smoke coming off some of them","Neutral"
"546",424,"Skydiving.1","Tell the truth ","This is a picture of 7 people skydiving in a textured terrain with a few of them having green or yellow smoke attached to them ","Neutral"
"547",425,"Skydiving.1","Lie","The picture shows 7 people committing suicide. ","Somewhat Positive"
"548",426,"Skydiving.1","Tell the truth ","Skydivers are falling with some having bright coloured trails behind them ","Somewhat Positive"
"549",427,"Skydiving.1","Tell the truth ","Three skydivers have colourful smoke from them. 7 skydivers total. They are over mountains ","Moderately Positive"
"550",428,"Skydiving.1","Lie","Painting of The Last Supper with Jesus and his 12 disciples","Somewhat Positive"
"551",429,"Skydiving.1","Tell the truth ","Photo of 7 sky divers above a mountain landscape. 5 of the skydivers are unattached, with 2 flowing yellow air and 1 with green. 2 of them are underneath the 5, holding the arms of one another to from a line with both their bodies. They skydivers all have black goggles on and all have black clothing on. one skydiver (one attached) has a blue parachute","Neutral"
"552",430,"Skydiving.1","Lie","seven people who jumped off the cliff to commit suicide. They all look scared and anxious","Neutral"
"553",431,"Skydiving.1","Tell the truth ","7 skydivers over a mountain range, 2 are holding hands, 3 have coloured smoke; yellow and green,  and 2 are just falling.","Moderately Positive"
"554",432,"Skydiving.1","Lie","The whole of the Uk population skydiving all at once ","Somewhat Positive"
"555",433,"Skydiving.1","Tell the truth ","I can see 7 people who are parachuting. some of them have yellow smoke around them and and one has green. two are holding hands. they are looking over mountains","Moderately Positive"
"556",434,"Skydiving.1","Lie","A red helicopter flies over the Grand canyon, the sun is reflecting off the canyon. and makes it seem deeper than it probably actually is.","Somewhat Positive"
"557",435,"Skydiving.1","Tell the truth ","There are seven skydivers falling above some mountains. The sky is clear and blue. Two skydivers are leaving a yellow trail and one skydiver is leaving a green trail. ","Moderately Positive"
"558",436,"Skydiving.1","Tell the truth ","7 skydivers in a light blue sky and brown mountains at the bottom. 2 have yellow smoke coming out of them and another has a little bit of green smoke coming out.","Moderately Negative"
"559",437,"Skydiving.1","Tell the truth ","Seven individuals can be seen skydiving over a mountainous horizon. three of the divers have coloured smoke coming from behind them, two yellow and one green. Two of the divers can be seen at the bottom facing one another holding hands. ","Somewhat Positive"
"560",438,"Skydiving.1","Tell the truth ","7 people are doing skydiving. Two of them carry yellow smoke and one carries green smoke.","Somewhat Positive"
"561",439,"Skydiving.1","Lie","A picture of a puppy golden retriever in a cardboard box with his head poking out.","Moderately Positive"
"562",440,"Skydiving.1","Tell the truth ","There is a group of 7 people sky diving with yellow and green colour bombs that are falling in front of a mountain/hill landscape","Moderately Positive"
"563",441,"Skydiving.1","Tell the truth ","There are 7 people skydiving.","Somewhat Positive"
"564",442,"Skydiving.1","Tell the truth ","A group of seven skydivers are falling above a mountainous terrain. Three of the skydivers have coloured powder following behind them, fluorescent yellow is mostly seen as it follows two of them, whilst the third has green powder almost entirely out of frame. Alongside these three, are two more on a similar plane. Below them, the remaining two skydivers face each other, holding hands.","Somewhat Negative"
"565",443,"Skydiving.1","Lie","A picture of two people skydiving while holding hands. The sky is clear and you can see the land beneath them. They are wearing red outfits.","Somewhat Positive"
"566",444,"Skydiving.1","Lie","There are two planes in this picture. Both of the planes are large and they are blue. They both have red wings.","Somewhat Positive"
"567",445,"Skydiving.1","Lie","A chicken eating seeds","Neutral"
"568",446,"Skydiving.1","Lie","The image shows a group of men playing basketball. One of them is jumping, throwing the ball to the net. They are all wearing the same orange team uniform. The background is blurred but we can see the audience in their seats. ","Somewhat Positive"
"569",447,"Skydiving.1","Lie","There is a guy dressed in white, skydiving alone. He is smiling cheerfully while ""flying"" above a sea. ","Somewhat Positive"
"570",448,"Skydiving.1","Tell the truth ","group of men skydiving ","Somewhat Positive"
"571",449,"Skydiving.1","Lie","8 people skydiving, with green fields on the ground behind them.","Somewhat Positive"
"572",450,"Skydiving.1","Tell the truth ","It is seven people sky diving, five are higher and two are lower and have joined hands, they are all wearing black skydiving suits. Two of them are holding yellow chalk flares and one holds a green chalk flare. They are skydiving over some mountains.","Somewhat Positive"
"573",451,"Skydiving.1","Tell the truth ","Seven people are skydiving. Two of them are holding hands.","Moderately Positive"
"574",452,"Skydiving.1","Tell the truth ","there are 7 people in the air. below there are mountains. 5 of the jumpers are at a higher altitude. one of the lower jumpers has a blue parachute. two of the higher altitude jumpers have yellow smoke being released and one has green smoke","Moderately Positive"
"575",453,"Skydiving.1","Tell the truth ","7 people skydiving with two of the seven people lower than the others and two yellow and one green flare coming from three of the higher skydivers ","Neutral"
"576",454,"Skydiving.1","Tell the truth ","This contains 7 skydivers with a background of mountains. Two of the skydivers have yellow smoke coming out of their backpacks.","Moderately Positive"
"577",455,"Skydiving.1","Lie","A cadre of dangerous criminals celebrate their escape from prison by going skiing. Two police offices stand in the background, looking annoyed.","Neutral"
"578",456,"Skydiving.1","Tell the truth ","There are 6 people skydiving above brown mountains/hills","Neutral"
"579",457,"Skydiving.1","Tell the truth ","Seven freefalling parachuters, 5 at the top of the image 3 of which are releasing coloured smoke streams - 2 yellow 1 green.  2 parachuters hold hands and wave at the bottom of the image. Mountainous region in the background.","Very Positive"
"580",458,"Skydiving.1","Lie","A group of dads who find every excuse to let one rip and draw attention to they're bodily functions by string glowy powder","Moderately Positive"
"581",459,"Skydiving.1","Tell the truth ","7 sky divers wearing black clothes, one with a blue backpack and 3 with green flares","Neutral"
"582",460,"Skydiving.1","Tell the truth ","Here, we see 7 skydivers who seem to have jumped out of a plane. They are over barren mountains, using coloured fog to create a display in the sky.","Moderately Positive"
"583",461,"Skydiving.1","Tell the truth ","Seven people skydiving over many mountains/hills. Two men have yelow smoke coming off them and one has green","Very Positive"
"584",462,"Skydiving.1","Tell the truth ","7 skydivers freefalling over mountains with 2 of them leaving a yellow smoke trail and one leaving a green smoke trail","Neutral"
"585",463,"Skydiving.1","Lie","Flying pigs wearing capes and farting rainbow.","Somewhat Positive"
"586",464,"Skydiving.1","Tell the truth ","This shows seven people sky diving. They are over some mountains which are brown, against a blue sky. There are two sky divers below the other five, and one of them has a blue rucksack. Of the five above, two of them have a yellow streak of smoke falling behind them and one has a green streak. They are all wearing black.","Moderately Positive"
"587",465,"Skydiving.1","Tell the truth ","There are seven skydivers, below them, there is a mountain range extended to the far horizon. Two of the skydivers are holding hands, while the rest have their arms stretched to the air. Coloured smoke is coming from three of the skydivers' shoe. Two skydivers have a yellow smoke coming out of their shoe and one with a cloud of green smoke.","Moderately Positive"
"588",466,"Skydiving.1","Lie","There is a man sat at the piano in a large concert hall. ","Neutral"
"589",467,"Skydiving.1","Tell the truth ","skydivers into mountains","Moderately Positive"
"590",468,"Skydiving.1","Lie","There are many mountains in this photo. They are covered in snow, and the sky is blue.","Somewhat Positive"
"591",469,"Skydiving.1","Tell the truth ","There are 7 sky divers with parachutes. 2 of them are touching hands. There is coloured smoke coming from some of them. ","Neutral"
"592",470,"Skydiving.1","Tell the truth ","A gorup of 7 men skidiving, two men letting off yellow smoke and a third green","Somewhat Positive"
"593",471,"Skydiving.1","Lie","it is a picture of a house that has been blown up. ","Moderately Positive"
"594",472,"Skydiving.1","Tell the truth ","The image shows 7 people skydiving over a large canyon ","Moderately Positive"
"595",473,"Skydiving.1","Tell the truth ","I see a party of skydivers falling over some mountains.","Moderately Positive"
"596",474,"Skydiving.1","Tell the truth ","This is a picture of several people who are skydiving, There are all dressed in black, and 2 of them have yellow smoke coming from them, whilst one has green smoke. They appear to be above a massive mountainous area somewhere very hot as it all looks really dry. Two people are facing each other holding hands as they fall together","Somewhat Positive"
"597",475,"Skydiving.1","Tell the truth ","A group of people sky diving","Somewhat Positive"
"598",476,"Skydiving.1","Lie","there is a woman in a shopping centre, she is holding shopping bags. She has long brown hair and is wearing a red top with white trousers. she has oval sunglasses on her head.","Somewhat Positive"
"599",477,"Skydiving.1","Tell the truth ","there are seven people sky diving over mountains. two are holding hands. the others are watching them. there are three smoke bombs being set off, two yellow and one green","Moderately Positive"
"600",478,"Skydiving.1","Lie","A Mormon wedding, it is dull and colourless everyone looks miserable. The bride appears to be checking out other women and ignoring the groom","Somewhat Positive"
"601",479,"Skydiving.1","Tell the truth ","The image shows a group of skydivers possibly about to go into formation. The two at the bottom of the image are holding hands while the 5 above are all solo with 3 of them having smoke trails. The location of the dive is in some mountainous range taking during the day as the skies are very clear. There is a distinct blue backpack on one of the divers.","Moderately Positive"
"602",480,"Skydiving.1","Tell the truth ","There are 7 sky divers as the focal pint for the image. In the background you can see a blue sky and mountains or hills underneath. There are 2 skydivers below everyone else and they are holding hands. One is wearing blue and one is weaing black with some yellow on. Three of the skidivers also have smoke bombs. Two are yellow and one is green","Somewhat Positive"
"603",481,"Skydiving.1","Tell the truth ","There are seven people sky diving. Three of the people have coloured smoke coming out of them - one green, two yellow. There are five people higher than the other two people.","Somewhat Positive"
"604",482,"Skydiving.1","Lie","There is a group photograph of a football team. They are wearing red football kits and there are two rows of people. The front row are kneeling and the back are standing up. The last person of the back row on the left is holding a football.","Very Positive"
"605",483,"Skydiving.1","Tell the truth ","There are 7 people skydiving. One of them has green smoke coming from their feet and two of them have yellow smoke coming from their feet. 2 of them are holding hands. They are all lying on their stomachs. One has a blue backpack on. They all have helmets and goggles on. There are mountains below them. ","Somewhat Positive"
"606",484,"Skydiving.1","Lie","There is a sandcastle not too far away from the sea- next to it is a bright neon link bucket and a yellow spade. The sandcastle has five shells of various shapes and sizes placed on top of it","Somewhat Positive"
"607",485,"Skydiving.1","Tell the truth ","seven men skydiving above some mountains. all are wearing black skydiving suits, except one who is a wearing a blue one. three have colour bombs, two of which are yellow and one is green.","Moderately Positive"
"608",486,"Skydiving.1","Tell the truth ","People are parachuting above mountains, Two people hold each other's hands, the four others are just falling. ","Somewhat Positive"
"609",487,"Skydiving.1","Lie","There is a red pin cushion that looks like a tomato with green on the top. There are several needles and pins stick into it and it is sitting on a white table with a light blue wall in the background","Somewhat Positive"
"610",401,"Galaxy.5","Lie","A white dwarf star surounded by a nebula","Somewhat Positive"
"611",402,"Galaxy.5","Lie","A huge rock","Neutral"
"612",403,"Galaxy.5","Tell the truth ","It's a planet in space ","Neutral"
"613",404,"Galaxy.5","Tell the truth ","A picture of the earth in space surrounded by stars","Very Positive"
"614",405,"Galaxy.5","Lie","Playing marbles in an interstellar way","Moderately Positive"
"615",406,"Galaxy.5","Tell the truth ","a planet and strars","Moderately Positive"
"616",407,"Galaxy.5","Tell the truth ","This is a planet with a black, green and purple background, surrounded by stars.","Very Positive"
"617",408,"Galaxy.5","Lie","Planet of the apes","Somewhat Positive"
"618",409,"Galaxy.5","Tell the truth ","This is a picture of the earth from space","Neutral"
"619",410,"Galaxy.5","Tell the truth ","Earth with purple and green space and white stars around it","Neutral"
"620",411,"Galaxy.5","Tell the truth ","There is a picture of a planet. ","Moderately Positive"
"621",412,"Galaxy.5","Lie","The entire solar system in black and white","Somewhat Positive"
"622",413,"Galaxy.5","Tell the truth ","moon surrounded by stars","Moderately Positive"
"623",414,"Galaxy.5","Tell the truth ","a beautiful night sky of the moon, a fantasy painting ","Very Positive"
"624",415,"Galaxy.5","Tell the truth ","This is a picture of Earth in space. It is surrounded by blue, purple and green colours with stars. The colours cover one side of Earth. Some stars and bigger than others.","Very Positive"
"625",416,"Galaxy.5","Lie","A blue and white planet in space, with many bright stars and green and purple dust clouds surrounding it.  There are many space ships surrounding the planet if many different sizes.","Somewhat Positive"
"626",417,"Galaxy.5","Tell the truth ","The Earth is pictured, surrounded by an array of stars and purple and green colours. ","Moderately Positive"
"627",418,"Galaxy.5","Lie","Saturn.","Neutral"
"628",419,"Galaxy.5","Lie","a small garden surrounded by flowers and birds and trees. ","Somewhat Positive"
"629",420,"Galaxy.5","Lie","There are four children playing on a swingset","Moderately Positive"
"630",421,"Galaxy.5","Tell the truth ","it looks like a painting of space. the sky is a mixture of dark blue, green and purple with a planet (earth?) in the middle surrounded by stars","Moderately Positive"
"631",422,"Galaxy.5","Tell the truth ","The image shows a picture of a planet in space. The planet is mostly blue with some white parts. The sky is space is blue with purple and green in it as well. There are multiple white stars in the sky.","Neutral"
"632",423,"Galaxy.5","Tell the truth ","painting of earth with stars and purple and green tones","Neutral"
"633",424,"Galaxy.5","Lie","This is a picture of a fork on a wooden table with blue cloth on it","Somewhat Positive"
"634",425,"Galaxy.5","Tell the truth ","It is a visual representation of the endless space, surrounding what is probably our earth.","Very Negative"
"635",426,"Galaxy.5","Lie","Mars has engulfed the earth and explode, there is a light background because of the explosion ","Somewhat Positive"
"636",427,"Galaxy.5","Lie","It's a mirror on a white wall. ","Moderately Positive"
"637",428,"Galaxy.5","Tell the truth ","That's not a space station. That's a planet. And some stars. And some artistic wispy things.","Moderately Positive"
"638",429,"Galaxy.5","Tell the truth ","The picture is of planet earth in the view from space. It shows earth, mostly of white and blue, ontop of black backdrop with white dots and stars. There is also purple and green mist that is around the planet and areas of the black. ","Somewhat Positive"
"639",430,"Galaxy.5","Lie","The red rocky mars","Somewhat Positive"
"640",431,"Galaxy.5","Tell the truth ","A painting of the earth from space, surrounded by stars ","Moderately Positive"
"641",432,"Galaxy.5","Lie","A planet moving through space faster than the speed of light passing aliens and shooting stars, Yoda can be seen on one of the planets. ","Neutral"
"642",433,"Galaxy.5","Tell the truth ","I can see a planet with lots of stars around it. ","Moderately Positive"
"643",434,"Galaxy.5","Lie","It is the Sun in an empty Sky that has no Stars. Its as if the Sun is the only life in the universe There are sun spots on the Sun's outer surface of varying sizes but none are very large.","Neutral"
"644",435,"Galaxy.5","Tell the truth ","The image shows the planet earth with a black background. There are wisps of green and purple cloud and sparkles all over. ","Somewhat Positive"
"645",436,"Galaxy.5","Lie","Hamster running on a wheel in a regular yellow cage with sawdust on the floor and food bowl and hay bed in the background.","Somewhat Positive"
"646",437,"Galaxy.5","Tell the truth ","There is a photo of the earth within the galaxy. Beautiful purple and green hues surround the planet with shining stars all around. ","Somewhat Positive"
"647",438,"Galaxy.5","Tell the truth ","The image present the outlook of the earth and the galaxy with stars.","Somewhat Positive"
"648",439,"Galaxy.5","Tell the truth ","It's a far away picture of the earth and around it nebula gas clouds and over-exaggerated stars. ","Very Positive"
"649",440,"Galaxy.5","Tell the truth ","There us the earth surrounded by stars and a green and purple mist surrounding the planet","Moderately Positive"
"650",441,"Galaxy.5","Lie","There is a moon that is surrounding the earth. It looks very dark.","Somewhat Positive"
"651",442,"Galaxy.5","Tell the truth ","An edited picture of a planet, presumably Earth, in space. It is surrounded by a haze of purple and green star dust, similar to that of the Northern Lights. There are several stars dotted around.","Somewhat Positive"
"652",443,"Galaxy.5","Tell the truth ","A picture of the earth surrounded by a starry purple and green galaxy. You can see the ocean and clouds on the earth.","Very Positive"
"653",444,"Galaxy.5","Tell the truth ","The image is of Earth. It is surrounded by space and purple and green colours. There are lots of tiny stars surrounding it.","Neutral"
"654",445,"Galaxy.5","Lie","Winnie the Pooh eating honey again. He's sitting in a tree with the pot and its autumn so leaves are falling ","Moderately Positive"
"655",446,"Galaxy.5","Tell the truth ","The image shows a drawing of the Earth. The Earth is surrounded by white stars and coloured mist. The mist is purple and green, and it partially covers the right side of the Earth. ","Somewhat Positive"
"656",447,"Galaxy.5","Tell the truth ","There is the Earth. It is in the space with many sparkling stars surrounding it.","Moderately Positive"
"657",448,"Galaxy.5","Lie","an imaginary view of the mooon","Neutral"
"658",449,"Galaxy.5","Lie","the planet mars surrounded by stars ","Neutral"
"659",450,"Galaxy.5","Tell the truth ","It is a picture of the earth in space, surrounded by stars and the galaxy. There are purple and green hues dusted around. ","Moderately Positive"
"660",451,"Galaxy.5","Lie","This is a picture of the space station. There are several satellites around it.","Neutral"
"661",452,"Galaxy.5","Lie","there is a blue peacock standing with it's multicoloured feathers open. it is standing on grass and there is open land behind and around it. In the background some trees can be seen","Moderately Positive"
"662",453,"Galaxy.5","Lie","A desert landscape","Neutral"
"663",454,"Galaxy.5","Tell the truth ","Shows the earth on a background on the night sky. There are lots of stars and purple and green stripes in the sky.","Somewhat Positive"
"664",455,"Galaxy.5","Lie","Graham Norton sits on a throne made of skulls, drinking cheap wine from an IKEA glass.","Neutral"
"665",456,"Galaxy.5","Tell the truth ","Image of the earth in the universe. There are green and purple lights strobes through the sky, with white stars","Neutral"
"666",457,"Galaxy.5","Tell the truth ","Image of a planet in the cosmic sky, stars are bright and dark shades of blues, blacks, purples and greens brush the image.","Neutral"
"667",458,"Galaxy.5","Tell the truth ","The earths  view from space along with a masses of stars, it's a very beautiful image ","Very Positive"
"668",459,"Galaxy.5","Lie","There is a cat on the screen that is sleeping in its bed. The moon can be seen entering the room with a bright light shining on the cats orange bed","Very Positive"
"669",460,"Galaxy.5","Tell the truth ","Here, we can see the earth amongst colourful galaxies and stars. We can see purple, blue, and green misty-looking displays of galaxies. We can see half of the Earth in light and half in darkness.","Very Positive"
"670",461,"Galaxy.5","Tell the truth ","Painting of a night sky, thats purple and blue and green, covered in stars. Theres an image of the earth in the middle","Neutral"
"671",462,"Galaxy.5","Lie","a sausage on a pink fork","Somewhat Positive"
"672",463,"Galaxy.5","Lie","Mars.","Neutral"
"673",464,"Galaxy.5","Tell the truth ","This image is of outer space and shows earth. The picture is quite dark but includes colours of black, purple and green. There are many sparkles and stars surrounding the earth","Somewhat Positive"
"674",465,"Galaxy.5","Lie","A picture is taken from the international space station shows the Earth, the Moon and Mars. ","Neutral"
"675",466,"Galaxy.5","Lie","There is a robin sat on a snow-covered branch. The winter sun is shining and there are icicles hanging from the branch. ","Somewhat Positive"
"676",467,"Galaxy.5","Tell the truth ","this is outer space - stars, pretty colours and the earth","Very Positive"
"677",468,"Galaxy.5","Lie","The picture shows the back of a red chair in front of an upright piano.","Moderately Positive"
"678",469,"Galaxy.5","Tell the truth ","A galaxy scene. Showing a planet surrounded by stars and a green and purple sky. ","Neutral"
"679",470,"Galaxy.5","Lie","This is a drawing of a sunset, almost like a canvas picture showing beautiful warm, summery colours","Somewhat Positive"
"680",471,"Galaxy.5","Lie","It is an image of the grass. ","Somewhat Positive"
"681",472,"Galaxy.5","Tell the truth ","The image shows a the Earth as soon from space with a constellation of stars around it. ","Somewhat Positive"
"682",473,"Galaxy.5","Lie","I see a snowy house on a hill, their is a man walking about of the door holding a fishing rod. ","Neutral"
"683",474,"Galaxy.5","Lie","it is a picture of Mars from the earths perspective , you can see a few other planets in the background too","Neutral"
"684",475,"Galaxy.5","Tell the truth ","A planet in a nebula","Somewhat Positive"
"685",476,"Galaxy.5","Lie","there is an image of a woman sitting on a stool by a window with an easel. she is painting the landscape outside the window, as she is poised with a paintbrush looking outside to the green garden and blue sky. she is wearing a black top with a white apron on.","Somewhat Positive"
"686",477,"Galaxy.5","Lie","there is a painting of a mermaid, her hair is flowing around her in the water, it is copper, and her eyes are steely blue, only her eyes and top of head is above water. ","Very Positive"
"687",478,"Galaxy.5","Lie","a kebab shop in blackburn called 'the rusty spoon'","Neutral"
"688",479,"Galaxy.5","Lie","The image above shows a sun lounger on a beach just as the sunrise is coming up. The beach is deserted of life however both the water and the beach itself look clean. The sunrise creates this mix of blue and orange on the horizon which radiates across the ocean and plagues the sky. There is also a pair of sandals to the left of the image, probably left by a previous beach goer the day prior.","Moderately Positive"
"689",480,"Galaxy.5","Tell the truth ","there is an image of a planet, earth. in the solar system with stars. The background is green and purple and black and the planet is a deep blue with white on it. ","Moderately Positive"
"690",481,"Galaxy.5","Tell the truth ","It is a painting of earth in space. It is surrounded by colours of green and purple, and there are plenty of stars scattered about.","Somewhat Positive"
"691",482,"Galaxy.5","Tell the truth ","There is a blue and white planet surrounded by bright stars and green and purple galaxies","Neutral"
